type,entry_price,exit_price,quantity,lots,pnl,margin_used,entry_time,exit_time,entry_datetime,exit_datetime
short,22769.8,22577.15,75,1,14448.749999999836,187850.85,1714986840000.0,1714986900000.0,2024-05-06 14:44:00,2024-05-06 14:45:00
long,22411.5,22075.3275,75,1,-25212.937500000044,184894.875,1715332440000.0,1715332500000.0,2024-05-10 14:44:00,2024-05-10 14:45:00
long,22068.85,22275.9,75,1,15528.750000000218,182068.0125,1715764440000.0,1715764500000.0,2024-05-15 14:44:00,2024-05-15 14:45:00
short,22376.65,22712.29975,75,1,-25173.731249999764,184607.3625,1716542040000.0,1716542100000.0,2024-05-24 14:44:00,2024-05-24 14:45:00
short,22972.3,22641.75,75,1,24791.249999999945,189521.475,1717060440000.0,1717060500000.0,2024-05-30 14:44:00,2024-05-30 14:45:00
long,22608.3,23132.95,75,1,39348.75000000011,186518.475,1717406040000.0,1717406100000.0,2024-06-03 14:44:00,2024-06-03 14:45:00
short,23105.7,22479.4,75,1,46972.49999999994,190622.025,1717492440000.0,1717492500000.0,2024-06-04 14:44:00,2024-06-04 14:45:00
long,22007.65,22717.0,75,1,53201.24999999989,181563.1125,1717665240000.0,1717665300000.0,2024-06-06 14:44:00,2024-06-06 14:45:00
short,23399.65,23411.0,75,1,-851.2499999998909,193047.1125,1719220440000.0,1719220500000.0,2024-06-24 14:44:00,2024-06-24 14:45:00
short,23600.3,23954.3045,75,1,-26550.337499999932,194702.475,1719566040000.0,1719566100000.0,2024-06-28 14:44:00,2024-06-28 14:45:00
short,24155.45,24517.78175,75,1,-27174.881249999817,199282.4625,1721034840000.0,1721034900000.0,2024-07-15 14:44:00,2024-07-15 14:45:00
short,24542.35,24467.4,75,1,5621.249999999782,202474.3875,1721639640000.0,1721639700000.0,2024-07-22 14:44:00,2024-07-22 14:45:00
long,24409.1,24477.2,75,1,5107.500000000164,201375.075,1721985240000.0,1721985300000.0,2024-07-26 14:44:00,2024-07-26 14:45:00
short,24918.35,24761.5,75,1,11763.74999999989,205576.3875,1722590940000.0,1722591000000.0,2024-08-02 14:59:00,2024-08-02 15:00:00
long,24216.55,24385.65,75,1,12682.500000000164,199786.5375,1723799640000.0,1723799700000.0,2024-08-16 14:44:00,2024-08-16 14:45:00
short,24581.1,24949.816499999997,75,1,-27653.737499999897,202794.075,1724664540000.0,1724664600000.0,2024-08-26 14:59:00,2024-08-26 15:00:00
short,24981.2,25104.7,75,1,-9262.5,206094.9,1725441240000.0,1725441300000.0,2024-09-04 14:44:00,2024-09-04 14:45:00
long,24994.9,25063.45,75,1,5141.249999999945,206207.925,1726046940000.0,1726047000000.0,2024-09-11 14:59:00,2024-09-11 15:00:00
short,25315.9,25695.638499999997,75,1,-28480.387499999688,208856.175,1727082840000.0,1727082900000.0,2024-09-23 14:44:00,2024-09-23 14:45:00
short,25891.8,25850.0,75,1,3134.9999999999454,213607.35,1727774040000.0,1727774100000.0,2024-10-01 14:44:00,2024-10-01 14:45:00
long,25588.15,25204.32775,75,1,-28786.66875000008,211102.2375,1728033240000.0,1728033300000.0,2024-10-04 14:44:00,2024-10-04 14:45:00
long,25189.55,24811.706749999998,75,1,-28338.24375000013,207813.7875,1728378840000.0,1728378900000.0,2024-10-08 14:44:00,2024-10-08 14:45:00
long,24802.35,25176.2,75,1,28038.750000000164,204619.3875,1728983640000.0,1728983700000.0,2024-10-15 14:44:00,2024-10-15 14:45:00
long,24940.65,24566.540250000002,75,1,-28058.23124999997,205760.3625,1729674840000.0,1729674900000.0,2024-10-23 14:44:00,2024-10-23 14:45:00
long,24407.75,24041.63375,75,1,-27458.718749999935,201363.9375,1730713440000.0,1730713500000.0,2024-11-04 15:14:00,2024-11-04 15:15:00
long,24046.15,24344.8,75,1,22398.749999999836,198380.7375,1730884440000.0,1730884500000.0,2024-11-06 14:44:00,2024-11-06 14:45:00
long,24099.15,24229.05,75,1,9742.499999999836,198817.9875,1731404640000.0,1731404700000.0,2024-11-12 15:14:00,2024-11-12 15:15:00
long,23800.4,23443.394,75,1,-26775.45000000009,196353.3,1731922140000.0,1731922200000.0,2024-11-18 14:59:00,2024-11-18 15:00:00
long,23405.85,24311.8,75,1,67946.25000000006,193098.2625,1732526040000.0,1732526100000.0,2024-11-25 14:44:00,2024-11-25 14:45:00
short,24290.0,24029.1,75,1,19567.50000000011,200392.5,1732871640000.0,1732871700000.0,2024-11-29 14:44:00,2024-11-29 14:45:00
short,24300.05,24664.55075,75,1,-27337.556249999943,200475.4125,1733476440000.0,1733476500000.0,2024-12-06 14:44:00,2024-12-06 14:45:00
short,24725.7,24419.25,75,1,22983.750000000055,203987.025,1734081240000.0,1734081300000.0,2024-12-13 14:44:00,2024-12-13 14:45:00
long,24397.85,24702.95,75,1,22882.500000000164,201282.2625,1734340440000.0,1734340500000.0,2024-12-16 14:44:00,2024-12-16 14:45:00
short,24746.4,24565.15,75,1,13593.75,204157.8,1734427740000.0,1734427800000.0,2024-12-17 14:59:00,2024-12-17 15:00:00
long,24301.3,23936.7805,75,1,-27338.96249999989,200485.725,1734599640000.0,1734599700000.0,2024-12-19 14:44:00,2024-12-19 14:45:00
long,23985.1,23752.6,75,1,-17437.5,197877.075,1735552740000.0,1735552800000.0,2024-12-30 15:29:00,2024-12-30 15:30:00
